0	0	0	0	0	0
256	0	0	80	17	25
512	0	0	159	16	40
768	0	0	222	15	55
1024	0	0	273	14	64
1280	0	0	309	13	67
1536	0	0	340	12	68
1792	0	0	368	11	70
2048	0	0	408	11	73
2304	0	0	456	11	76
2560	0	0	515	10	78
2816	0	0	613	11	85
3072	0	0	762	12	96
3328	0	0	966	11	100
3584	0	0	1016	9	91
3840	0	0	1023	13	86
4095	0	0	1023	26	83
0	256	0	17	76	37
256	256	0	72	70	16
512	256	0	157	60	16
768	256	0	225	41	15
1024	256	0	278	14	35
1280	256	0	314	13	50
1536	256	0	343	12	57
1792	256	0	371	11	62
2048	256	0	412	11	67
2304	256	0	460	11	71
2560	256	0	519	10	74
2816	256	0	620	11	82
3072	256	0	771	12	94
3328	256	0	889	12	97
3584	256	0	1018	9	88
3840	256	0	1023	8	87
4095	256	0	1023	43	83
0	512	0	16	143	58
256	512	0	29	142	14
512	512	0	142	139	14
768	512	0	206	125	15
1024	512	0	262	108	14
1280	512	0	306	88	12
1536	512	0	343	61	13
1792	512	0	380	23	17
2048	512	0	425	11	39
2304	512	0	473	10	50
2560	512	0	536	10	60
2816	512	0	647	11	73
3072	512	0	800	12	83
3328	512	0	909	12	84
3584	512	0	994	10	78
3840	512	0	1022	8	79
4095	512	0	1023	85	83
0	768	0	14	190	91
256	768	0	14	190	70
512	768	0	102	185	12
768	768	0	180	176	12
1024	768	0	236	165	12
1280	768	0	282	151	12
1536	768	0	326	138	11
1792	768	0	373	126	11
2048	768	0	425	110	11
2304	768	0	483	88	17
2560	768	0	573	58	22
2816	768	0	711	12	35
3072	768	0	842	12	53
3328	768	0	941	11	63
3584	768	0	1005	10	63
3840	768	0	1022	8	63
4095	768	0	1023	126	83
0	1024	0	11	237	112
256	1024	0	11	236	108
512	1024	0	41	222	11
768	1024	0	148	213	11
1024	1024	0	209	205	11
1280	1024	0	263	198	11
1536	1024	0	315	192	11
1792	1024	0	363	185	11
2048	1024	0	412	175	10
2304	1024	0	473	164	10
2560	1024	0	574	157	11
2816	1024	0	722	152	19
3072	1024	0	856	133	26
3328	1024	0	965	97	30
3584	1024	0	1020	35	26
3840	1024	0	1023	8	29
4095	1024	0	1023	164	83
0	1280	0	11	274	120
256	1280	0	11	274	110
512	1280	0	11	254	60
768	1280	0	116	251	11
1024	1280	0	191	249	11
1280	1280	0	251	245	10
1536	1280	0	303	239	11
1792	1280	0	350	233	10
2048	1280	0	401	226	10
2304	1280	0	464	221	10
2560	1280	0	572	224	11
2816	1280	0	719	228	12
3072	1280	0	843	213	11
3328	1280	0	953	188	17
3584	1280	0	1017	154	20
3840	1280	0	1023	136	22
4095	1280	0	1023	202	84
0	1536	0	10	310	129
256	1536	0	10	310	120
512	1536	0	10	311	90
768	1536	0	71	294	10
1024	1536	0	171	289	10
1280	1536	0	234	285	10
1536	1536	0	288	281	10
1792	1536	0	339	277	10
2048	1536	0	393	275	10
2304	1536	0	469	279	11
2560	1536	0	583	292	12
2816	1536	0	704	291	12
3072	1536	0	817	276	11
3328	1536	0	931	255	11
3584	1536	0	1012	220	9
3840	1536	0	1023	195	9
4095	1536	0	1023	241	87
0	1792	0	10	348	139
256	1792	0	10	348	132
512	1792	0	10	349	107
768	1792	0	10	330	38
1024	1792	0	146	328	10
1280	1792	0	217	327	10
1536	1792	0	278	326	11
1792	1792	0	334	325	11
2048	1792	0	398	331	11
2304	1792	0	484	344	11
2560	1792	0	581	350	12
2816	1792	0	688	347	12
3072	1792	0	793	331	11
3328	1792	0	905	310	11
3584	1792	0	1001	279	9
3840	1792	0	1023	289	83
4095	1792	0	1023	279	90
0	2048	0	11	409	161
256	2048	0	11	409	156
512	2048	0	11	411	129
768	2048	0	10	374	75
1024	2048	0	114	378	11
1280	2048	0	205	378	11
1536	2048	0	277	384	11
1792	2048	0	344	393	12
2048	2048	0	413	401	12
2304	2048	0	487	405	12
2560	2048	0	573	404	12
2816	2048	0	666	396	12
3072	2048	0	767	381	11
3328	2048	0	876	359	11
3584	2048	0	989	333	9
3840	2048	0	1023	326	83
4095	2048	0	1023	315	95
0	2304	0	12	487	182
256	2304	0	12	488	178
512	2304	0	12	490	155
768	2304	0	12	494	121
1024	2304	0	44	454	12
1280	2304	0	197	460	12
1536	2304	0	281	464	12
1792	2304	0	348	463	12
2048	2304	0	410	463	12
2304	2304	0	479	461	12
2560	2304	0	557	455	12
2816	2304	0	644	444	12
3072	2304	0	738	427	11
3328	2304	0	849	407	10
3584	2304	0	976	388	10
3840	2304	0	1023	368	84
4095	2304	0	1023	352	100
0	2560	0	12	556	201
256	2560	0	12	557	197
512	2560	0	12	559	180
768	2560	0	12	562	149
1024	2560	0	12	532	76
1280	2560	0	166	535	12
1536	2560	0	262	534	12
1792	2560	0	333	530	12
2048	2560	0	395	524	11
2304	2560	0	457	517	11
2560	2560	0	531	508	11
2816	2560	0	614	494	11
3072	2560	0	707	477	11
3328	2560	0	824	464	10
3584	2560	0	962	448	10
3840	2560	0	1023	419	82
4095	2560	0	1023	397	105
0	2816	0	11	612	205
256	2816	0	11	612	201
512	2816	0	11	614	195
768	2816	0	11	617	164
1024	2816	0	11	622	117
1280	2816	0	95	595	11
1536	2816	0	225	591	11
1792	2816	0	304	587	11
2048	2816	0	367	581	11
2304	2816	0	428	574	11
2560	2816	0	497	564	11
2816	2816	0	580	552	10
3072	2816	0	680	540	10
3328	2816	0	799	529	10
3584	2816	0	943	519	10
3840	2816	0	1023	478	71
4095	2816	0	1023	448	111
0	3072	0	11	675	215
256	3072	0	11	675	212
512	3072	0	11	678	199
768	3072	0	11	682	181
1024	3072	0	10	688	146
1280	3072	0	11	652	61
1536	3072	0	180	651	10
1792	3072	0	268	646	10
2048	3072	0	335	641	10
2304	3072	0	397	636	10
2560	3072	0	466	631	10
2816	3072	0	550	623	10
3072	3072	0	651	614	10
3328	3072	0	773	606	10
3584	3072	0	918	597	10
3840	3072	0	1023	552	17
4095	3072	0	1023	509	112
0	3328	0	10	759	226
256	3328	0	10	760	223
512	3328	0	10	763	213
768	3328	0	10	768	193
1024	3328	0	10	777	163
1280	3328	0	10	788	110
1536	3328	0	121	735	10
1792	3328	0	235	731	10
2048	3328	0	309	727	10
2304	3328	0	372	724	10
2560	3328	0	441	719	10
2816	3328	0	522	713	10
3072	3328	0	623	706	9
3328	3328	0	742	697	9
3584	3328	0	868	676	9
3840	3328	0	1006	646	9
4095	3328	0	1023	581	97
0	3584	0	9	844	225
256	3584	0	9	845	221
512	3584	0	9	847	225
768	3584	0	9	851	204
1024	3584	0	9	857	183
1280	3584	0	9	865	142
1536	3584	0	10	828	40
1792	3584	0	195	828	9
2048	3584	0	280	825	9
2304	3584	0	346	822	9
2560	3584	0	413	816	9
2816	3584	0	490	806	9
3072	3584	0	581	795	8
3328	3584	0	689	778	8
3584	3584	0	815	761	8
3840	3584	0	977	751	8
4095	3584	0	1022	669	8
0	3840	0	9	946	235
256	3840	0	9	947	233
512	3840	0	9	951	226
