0	0	0	0	0	0
62	0	0	113	0	6
123	0	0	182	0	8
185	0	0	229	0	12
254	0	0	295	0	4
308	0	0	368	0	9
386	0	0	495	0	19
451	0	0	615	0	23
482	0	0	686	0	25
513	0	0	760	0	25
544	0	0	843	0	26
575	0	0	939	0	27
606	0	0	1008	0	28
637	0	0	1023	0	23
668	0	0	1023	0	23
800	0	0	1023	0	5
924	0	0	1023	0	4
0	62	0	0	88	0
62	62	0	85	82	0
123	62	0	164	48	0
185	62	0	226	19	4
254	62	0	303	0	2
308	62	0	378	0	2
386	62	0	505	0	8
451	62	0	628	0	17
482	62	0	697	0	19
513	62	0	773	0	21
544	62	0	857	0	23
575	62	0	954	0	24
606	62	0	1012	0	25
637	62	0	1023	0	21
668	62	0	1023	0	22
800	62	0	1023	0	5
924	62	0	1023	0	4
0	123	0	0	128	31
62	123	0	13	127	0
123	123	0	118	115	0
185	123	0	200	89	0
254	123	0	292	61	0
308	123	0	378	40	0
386	123	0	523	8	1
451	123	0	666	0	1
482	123	0	738	0	2
513	123	0	818	0	2
544	123	0	904	0	3
575	123	0	998	0	9
606	123	0	1023	0	11
637	123	0	1023	0	13
668	123	0	1023	0	15
800	123	0	1023	0	5
924	123	0	1023	0	3
0	185	0	0	173	39
62	185	0	0	172	8
123	185	0	61	166	0
185	185	0	161	156	0
254	185	0	265	135	0
308	185	0	359	120	0
386	185	0	510	94	0
451	185	0	656	73	0
482	185	0	737	62	1
513	185	0	828	52	1
544	185	0	929	41	1
575	185	0	1007	30	1
606	185	0	1023	17	1
637	185	0	1023	2	1
668	185	0	1023	0	1
800	185	0	1023	0	3
924	185	0	1023	0	2
0	254	0	0	238	70
62	254	0	0	237	54
123	254	0	0	232	0
185	254	0	114	227	0
254	254	0	225	216	0
308	254	0	326	202	0
386	254	0	483	178	0
451	254	0	633	154	0
482	254	0	714	144	0
513	254	0	808	133	0
544	254	0	908	123	0
575	254	0	1001	113	0
606	254	0	1023	103	0
637	254	0	1023	93	0
668	254	0	1023	82	1
800	254	0	1023	19	1
924	254	0	1023	21	2
0	308	0	0	300	66
62	308	0	0	299	63
123	308	0	0	297	14
185	308	0	74	294	0
254	308	0	189	287	0
308	308	0	289	277	0
386	308	0	451	251	0
451	308	0	607	224	0
482	308	0	691	214	0
513	308	0	786	203	0
544	308	0	884	191	0
575	308	0	994	180	0
606	308	0	1023	169	0
637	308	0	1023	159	0
668	308	0	1023	148	0
800	308	0	1023	86	1
924	308	0	1023	72	2
0	386	0	0	398	75
62	386	0	0	398	67
123	386	0	0	398	42
185	386	0	2	399	0
254	386	0	136	393	0
308	386	0	229	387	0
386	386	0	388	370	0
451	386	0	549	350	0
482	386	0	637	337	0
513	386	0	734	326	0
544	386	0	833	312	0
575	386	0	957	300	0
606	386	0	1022	286	0
637	386	0	1023	273	0
668	386	0	1023	259	0
800	386	0	1023	178	0
924	386	0	1023	134	1
0	451	0	0	496	83
62	451	0	0	496	78
123	451	0	0	498	55
185	451	0	0	504	7
254	451	0	90	502	0
308	451	0	183	497	0
386	451	0	336	484	0
451	451	0	496	469	0
482	451	0	582	457	0
513	451	0	673	445	0
544	451	0	782	434	0
575	451	0	903	424	0
606	451	0	999	408	0
637	451	0	1023	391	0
668	451	0	1023	375	0
800	451	0	1023	275	0
924	451	0	1023	195	1
0	482	0	0	552	87
62	482	0	0	552	82
123	482	0	0	554	62
185	482	0	0	559	20
