0	0	0	0	0	0
256	0	0	83	17	26
512	0	0	161	17	41
768	0	0	223	16	57
1024	0	0	274	15	65
1280	0	0	311	13	67
1536	0	0	341	12	68
1792	0	0	368	11	69
2048	0	0	407	10	72
2304	0	0	457	10	75
2560	0	0	517	10	78
2816	0	0	615	10	84
3072	0	0	763	12	96
3328	0	0	965	10	101
3584	0	0	1016	8	92
3840	0	0	1023	12	87
4095	0	0	1023	23	84
0	256	0	17	78	39
256	256	0	75	73	16
512	256	0	158	63	17
768	256	0	226	42	16
1024	256	0	279	14	36
1280	256	0	315	13	50
1536	256	0	343	12	56
1792	256	0	371	10	61
2048	256	0	411	10	66
2304	256	0	461	10	70
2560	256	0	521	10	74
2816	256	0	622	10	81
3072	256	0	772	11	94
3328	256	0	890	11	98
3584	256	0	1018	8	89
3840	256	0	1023	7	87
4095	256	0	1023	40	84
0	512	0	16	144	59
256	512	0	30	143	15
512	512	0	143	140	14
768	512	0	208	125	15
1024	512	0	262	109	14
1280	512	0	307	88	12
1536	512	0	343	60	12
1792	512	0	379	21	16
2048	512	0	424	10	37
2304	512	0	475	10	48
2560	512	0	538	9	58
2816	512	0	649	10	72
3072	512	0	801	12	83
3328	512	0	909	11	84
3584	512	0	992	10	78
3840	512	0	1022	7	79
4095	512	0	1023	86	84
0	768	0	14	192	91
256	768	0	14	192	70
512	768	0	103	186	12
768	768	0	183	179	11
1024	768	0	236	167	12
1280	768	0	282	152	11
1536	768	0	326	139	10
1792	768	0	372	126	10
2048	768	0	425	111	11
2304	768	0	484	88	16
2560	768	0	575	56	21
2816	768	0	712	11	34
3072	768	0	843	11	52
3328	768	0	941	11	61
3584	768	0	1004	9	61
3840	768	0	1022	7	62
4095	768	0	1023	127	84
0	1024	0	11	237	113
256	1024	0	11	237	108
512	1024	0	40	222	11
768	1024	0	150	215	10
1024	1024	0	209	205	10
1280	1024	0	263	200	10
1536	1024	0	315	194	10
1792	1024	0	363	186	10
2048	1024	0	412	177	10
2304	1024	0	474	166	9
2560	1024	0	576	158	10
2816	1024	0	724	154	19
3072	1024	0	856	134	25
3328	1024	0	965	97	29
3584	1024	0	1020	31	23
3840	1024	0	1023	7	25
4095	1024	0	1023	166	84
0	1280	0	10	274	121
256	1280	0	10	274	111
512	1280	0	10	254	58
768	1280	0	118	252	10
1024	1280	0	193	248	10
1280	1280	0	251	245	10
1536	1280	0	303	239	10
1792	1280	0	350	233	10
2048	1280	0	401	227	9
2304	1280	0	465	221	9
2560	1280	0	574	225	11
2816	1280	0	721	229	12
3072	1280	0	844	214	11
3328	1280	0	952	190	16
3584	1280	0	1017	156	18
3840	1280	0	1023	137	19
4095	1280	0	1023	204	85
0	1536	0	10	311	130
256	1536	0	10	311	121
512	1536	0	10	311	90
768	1536	0	70	295	10
1024	1536	0	173	290	10
1280	1536	0	235	286	10
1536	1536	0	288	281	9
1792	1536	0	339	277	10
2048	1536	0	393	275	9
2304	1536	0	470	280	10
2560	1536	0	585	292	11
2816	1536	0	707	292	12
3072	1536	0	818	277	11
3328	1536	0	931	255	10
3584	1536	0	1011	221	8
3840	1536	0	1023	197	8
4095	1536	0	1023	241	88
0	1792	0	9	348	140
256	1792	0	9	349	133
512	1792	0	10	349	107
768	1792	0	9	330	36
1024	1792	0	148	328	9
1280	1792	0	219	327	10
1536	1792	0	278	326	10
1792	1792	0	334	326	11
2048	1792	0	397	331	10
2304	1792	0	485	345	11
2560	1792	0	583	350	11
2816	1792	0	691	348	12
3072	1792	0	794	331	11
3328	1792	0	905	311	10
3584	1792	0	1001	280	8
3840	1792	0	1023	289	83
4095	1792	0	1023	279	91
0	2048	0	10	408	163
256	2048	0	10	409	158
512	2048	0	10	411	130
768	2048	0	10	375	74
1024	2048	0	115	378	10
1280	2048	0	206	378	11
1536	2048	0	278	383	11
1792	2048	0	345	392	11
2048	2048	0	413	400	12
2304	2048	0	488	404	11
2560	2048	0	575	404	12
2816	2048	0	668	395	11
3072	2048	0	768	379	11
3328	2048	0	878	359	10
3584	2048	0	989	334	9
3840	2048	0	1023	327	84
4095	2048	0	1023	316	96
0	2304	0	11	488	184
256	2304	0	11	489	180
512	2304	0	11	491	157
768	2304	0	11	495	122
1024	2304	0	42	454	11
1280	2304	0	199	461	11
1536	2304	0	281	464	12
1792	2304	0	348	464	12
2048	2304	0	410	463	11
2304	2304	0	479	461	11
2560	2304	0	559	455	12
2816	2304	0	647	444	11
3072	2304	0	741	426	11
3328	2304	0	851	407	10
3584	2304	0	976	387	9
3840	2304	0	1023	367	84
4095	2304	0	1023	352	101
0	2560	0	12	558	203
256	2560	0	12	558	199
512	2560	0	12	560	182
768	2560	0	11	564	151
1024	2560	0	12	534	75
1280	2560	0	168	536	11
1536	2560	0	262	536	11
1792	2560	0	333	532	11
2048	2560	0	394	526	11
2304	2560	0	457	518	11
2560	2560	0	532	508	10
2816	2560	0	616	495	11
3072	2560	0	711	478	10
3328	2560	0	825	464	10
3584	2560	0	962	447	9
3840	2560	0	1023	418	83
4095	2560	0	1023	396	106
0	2816	0	11	614	206
256	2816	0	11	614	202
512	2816	0	11	616	197
